iter	Passed	Remaining
1338	1431	1241
1339	1432	1240
1340	1433	1239
1341	1434	1238
1342	1436	1237
1343	1437	1236
1344	1438	1235
1345	1439	1234
1346	1440	1233
1347	1441	1232
1348	1442	1231
1349	1444	1230
1350	1445	1229
1351	1445	1227
1352	1446	1226
1353	1447	1225
1354	1448	1224
1355	1450	1223
1356	1451	1222
1357	1452	1221
1358	1453	1220
1359	1453	1218
1360	1454	1217
1361	1456	1216
1362	1457	1215
1363	1458	1214
1364	1459	1213
1365	1461	1213
1366	1463	1212
1367	1465	1212
1368	1465	1211
1369	1466	1209
1370	1467	1208
1371	1468	1207
1372	1469	1206
1373	1470	1205
1374	1471	1204
1375	1472	1203
1376	1473	1201
1377	1474	1200
1378	1475	1199
1379	1476	1198
1380	1478	1197
1381	1478	1196
1382	1479	1194
1383	1480	1193
1384	1481	1192
1385	1482	1191
1386	1484	1191
1387	1485	1189
1388	1486	1188
1389	1487	1187
1390	1487	1186
1391	1488	1184
1392	1490	1184
1393	1491	1183
1394	1492	1182
1395	1493	1181
1396	1494	1179
1397	1494	1178
1398	1495	1177
1399	1496	1176
1400	1497	1175
1401	1498	1173
1402	1499	1172
1403	1500	1171
1404	1501	1170
1405	1503	1169
1406	1504	1168
1407	1505	1167
1408	1505	1166
1409	1506	1164
1410	1507	1163
1411	1508	1161
1412	1509	1161
1413	1510	1159
1414	1511	1158
1415	1511	1157
1416	1512	1156
1417	1513	1155
1418	1514	1154
1419	1516	1153
1420	1517	1152
1421	1518	1151
1422	1519	1149
1423	1520	1148
1424	1520	1147
1425	1521	1146
1426	1523	1145
1427	1524	1144
1428	1525	1142
1429	1525	1141
1430	1526	1140
1431	1527	1139
1432	1528	1138
1433	1530	1137
1434	1531	1136
1435	1532	1135
1436	1532	1133
1437	1533	1132
1438	1534	1131
1439	1535	1130
1440	1536	1129
1441	1537	1128
1442	1538	1127
1443	1539	1126
1444	1540	1124
1445	1542	1124
1446	1543	1123
1447	1544	1122
1448	1545	1120
1449	1545	1119
1450	1546	1118
1451	1547	1116
1452	1548	1116
1453	1549	1114
1454	1550	1113
1455	1551	1112
1456	1551	1110
1457	1552	1109
1458	1554	1108
1459	1555	1108
1460	1556	1107
1461	1557	1105
1462	1558	1104
1463	1559	1103
1464	1560	1102
1465	1561	1101
1466	1562	1100
1467	1563	1099
1468	1564	1097
1469	1566	1097
1470	1568	1097
1471	1570	1096
1472	1571	1095
1473	1572	1094
1474	1573	1093
1475	1575	1092
1476	1576	1091
1477	1577	1091
1478	1579	1090
1479	1581	1089
1480	1583	1089
1481	1584	1088
1482	1586	1087
1483	1588	1087
1484	1589	1086
1485	1590	1085
1486	1591	1084
1487	1592	1082
1488	1593	1082
1489	1595	1081
1490	1596	1080
1491	1597	1079
1492	1598	1078
1493	1599	1076
1494	1600	1075
1495	1601	1074
1496	1603	1074
1497	1604	1073
1498	1605	1072
1499	1607	1071
1500	1608	1070
1501	1609	1069
1502	1610	1068
1503	1611	1067
1504	1612	1066
1505	1613	1065
1506	1615	1064
1507	1616	1063
1508	1617	1062
1509	1619	1061
1510	1620	1060
1511	1621	1059
1512	1622	1058
1513	1623	1057
1514	1624	1055
1515	1625	1054
1516	1626	1054
1517	1627	1053
1518	1629	1052
1519	1630	1050
1520	1631	1049
1521	1632	1048
1522	1633	1047
1523	1634	1046
1524	1635	1045
1525	1636	1044
1526	1637	1043
1527	1638	1042
1528	1639	1041
1529	1640	1040
1530	1641	1039
1531	1642	1038
1532	1643	1036
1533	1644	1035
1534	1645	1034
1535	1647	1033
1536	1648	1032
1537	1649	1031
1538	1650	1030
1539	1651	1029
1540	1652	1028
1541	1653	1027
1542	1655	1026
1543	1656	1025
1544	1657	1024
1545	1658	1023
1546	1659	1022
1547	1660	1021
1548	1661	1020
1549	1663	1019
1550	1664	1018
1551	1665	1017
1552	1666	1016
1553	1667	1015
1554	1668	1014
1555	1670	1013
1556	1671	1012
1557	1672	1011
1558	1673	1010
1559	1674	1009
1560	1675	1008
1561	1676	1007
1562	1677	1005
1563	1679	1004
1564	1680	1004
1565	1683	1003
1566	1684	1003
1567	1686	1002
1568	1687	1001
1569	1688	1000
1570	1689	999
1571	1691	998
1572	1692	997
1573	1693	996
1574	1694	995
1575	1695	994
1576	1696	993
1577	1697	992
1578	1699	991
1579	1700	990
1580	1701	989
1581	1702	988
1582	1703	986
1583	1704	985
1584	1705	984
1585	1707	983
1586	1708	982
1587	1709	981
1588	1710	980
1589	1711	979
1590	1712	978
1591	1713	977
1592	1714	976
1593	1715	975
1594	1717	974
1595	1719	973
1596	1720	972
1597	1721	971
1598	1722	970
1599	1723	969
1600	1724	968
1601	1725	967
1602	1726	966
1603	1728	965
1604	1729	964
1605	1730	963
1606	1731	962
1607	1733	961
1608	1735	961
1609	1737	960
1610	1739	959
1611	1740	958
1612	1742	958
1613	1744	957
1614	1747	957
1615	1749	956
1616	1751	956
1617	1753	955
1618	1755	955
1619	1756	953
1620	1757	953
1621	1758	952
1622	1760	951
1623	1761	949
1624	1762	948
1625	1763	947
1626	1764	946
1627	1765	945
1628	1766	944
1629	1767	943
1630	1768	942
1631	1770	941
1632	1771	940
1633	1772	939
1634	1773	938
1635	1774	937
1636	1776	936
1637	1777	935
1638	1778	934
1639	1779	933
1640	1780	932
1641	1781	931
1642	1783	930
1643	1784	929
1644	1785	927
1645	1786	926
1646	1787	925
1647	1788	924
1648	1789	923
1649	1790	922
1650	1791	921
1651	1792	920
1652	1795	919
1653	1796	918
1654	1797	917
1655	1798	916
1656	1799	915
1657	1800	914
1658	1801	913
1659	1802	912
1660	1803	911
1661	1804	910
1662	1805	908
1663	1807	907
1664	1807	906
1665	1809	905
1666	1810	904
1667	1811	903
1668	1812	902
1669	1813	901
1670	1814	900
1671	1815	899
1672	1816	898
1673	1817	897
1674	1818	895
1675	1820	894
1676	1821	893
1677	1822	892
1678	1823	891
1679	1824	890
1680	1826	889
1681	1827	888
1682	1828	887
1683	1829	886
1684	1830	885
1685	1831	884
1686	1832	883
1687	1835	882
1688	1836	881
1689	1837	880
1690	1838	879
1691	1839	878
1692	1840	877
1693	1841	876
1694	1842	875
1695	1843	873
1696	1844	872
1697	1845	871
1698	1846	870
1699	1849	870
1700	1850	869
1701	1851	868
1702	1852	866
1703	1853	865
1704	1854	864
1705	1855	863
1706	1856	862
1707	1857	861
1708	1858	860
1709	1859	859
1710	1860	858
1711	1861	857
1712	1862	855
1713	1863	854
1714	1865	853
1715	1866	852
1716	1867	851
1717	1868	850
1718	1869	849
1719	1870	848
1720	1871	847
1721	1872	846
1722	1873	844
1723	1874	843
1724	1875	842
1725	1876	841
1726	1877	840
1727	1878	839
1728	1879	838
1729	1880	837
1730	1881	836
1731	1882	834
1732	1884	833
1733	1885	832
1734	1886	831
1735	1887	830
1736	1888	829
1737	1889	828
1738	1890	827
1739	1891	826
1740	1892	825
1741	1893	824
1742	1894	822
1743	1895	821
1744	1896	820
1745	1897	819
1746	1899	818
1747	1901	818
1748	1902	816
1749	1903	815
1750	1905	814
1751	1906	813
1752	1907	812
1753	1908	811
1754	1909	810
1755	1910	809
1756	1912	808
1757	1913	807
1758	1915	806
1759	1916	805
1760	1917	804
1761	1919	803
1762	1920	802
1763	1922	801
1764	1923	800
1765	1924	799
1766	1925	798
1767	1926	797
1768	1928	796
1769	1929	795
1770	1930	794
1771	1931	793
1772	1933	792
1773	1934	791
1774	1935	790
1775	1936	789
1776	1937	788
1777	1938	787
1778	1939	785
1779	1940	784
1780	1941	783
1781	1942	782
1782	1943	781
1783	1944	780
1784	1945	779
1785	1946	778
1786	1947	777
1787	1948	775
